hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
627;5094;8;22.1.2020 0:00;050 Punavuori;502;1945;770.0;18;0.0;2020;2022;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;NEWIL & BAU;Yksityinen;120;0,057234873;0,005874931;-0,25
640;39082;23;26.6.1998 0:00;391 Tapaninvainio;3916;167;0.0;1;1999.0;1998;2006;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;0
651;3056;16;27.8.1980 0:00;030 Kaartinkaupunki;302;2835;0.0;39;0.0;2013;2015;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;AURATUM ASUNNOT OY;Yksityinen;130;0,058837068;0,00401292;0,75
654;32062;35;2.8.2002 0:00;320 Konala;3202;981;0.0;10;2002.0;2003;2004;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;390;0,039963635;0,016574505;3,25
671;39092;10;30.8.1953 0:00;391 Tapaninvainio;3912;704;0.0;14;1986.0;2019;2020;34.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;PUUKOTI GROUP;Yksityinen;780;0,031688522;0,000421776;-0,25
673;33140;7;12.7.1985 0:00;331 Kannelmäki;3311;311;0.0;2;0.0;2002;2007;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;420;0,038891351;0,000661297;3,5
683;34027;13;9.7.1982 0:00;342 Itä-Pakila;3426;656;0.0;6;0.0;2021;2021;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;DUOKODIT OY;Yksityinen;680;0,038492909;0,00067423;-0,5
685;34068;25;11.9.2009 0:00;341 Länsi-Pakila;3412;152;0.0;1;1978.0;2017;2017;39.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Yksityinen;660;0,037223429;0,003984467;0
690;34088;53;11.10.1979 0:00;341 Länsi-Pakila;3412;280;0.0;3;0.0;2004;2005;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;660;0,037223429;0,003984467;2,25
698;35013;2;29.11.1972 0:00;351 Paloheinä;3511;1529;0.0;13;2000.0;2000;2001;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;MESTA OY;Yksityinen;670;0,035344065;0,001734751;3,5
702;38337;4;11.8.2000 0:00;385 Malmin lentokenttä;3852;3500;0.0;46;1994.0;2003;2004;10.0;Välimuoto;Omistusasuntoja;Yhtiölainan korkotuki;Hitas;Kerrostalo;ATT;Kaupunki;730;0,038910223;0,042290096;3,25
707;38337;2;11.8.2000 0:00;385 Malmin lentokenttä;3852;2800;0.0;36;1995.0;2003;2004;9.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;730;0,038910223;0,042290096;3,25
710;35027;2;29.11.1972 0:00;351 Paloheinä;3511;749;0.0;6;1973.0;2008;2009;36.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;670;0,035344065;0,001734751;4,75
717;35064;11;29.11.1972 0:00;351 Paloheinä;3511;360;0.0;4;1973.0;2001;2002;29.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;670;0,035344065;0,001734751;5,25
726;37030;17;16.7.1981 0:00;370 Pukinmäki;3701;582;0.0;12;1982.0;2005;2006;24.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Rivitalo;ALKUASUNNOT;Kaupunki;720;0,033787176;-0,002191905;2,25
727;3050;5;18.7.2014 0:00;030 Kaartinkaupunki;303;360;0.0;4;0.0;2012;2014;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;K.OY HGIN LUDVIGINKATU 3-5;Yksityinen;130;0,058837068;0,00401292;2
736;39013;4;25.7.1986 0:00;391 Tapaninvainio;3917;340;0.0;4;1986.0;2000;2001;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;3,5
737;39013;5;25.7.1986 0:00;391 Tapaninvainio;3917;400;0.0;4;1986.0;2001;2001;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;5,25
749;39030;5;29.4.1988 0:00;391 Tapaninvainio;3911;265;0.0;1;0.0;2001;2002;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;5,25
754;39051;7;31.10.1966 0:00;391 Tapaninvainio;3911;309;0.0;2;0.0;2022;2023;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;-0,5
755;5093;5;17.5.2019 0:00;050 Punavuori;502;1349;0.0;32;0.0;2018;2018;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LUMO-KODIT;Yksityinen;120;0,057234873;0,005874931;-0,25
758;39055;45;25.7.1986 0:00;391 Tapaninvainio;3911;190;0.0;1;0.0;2002;2003;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;3,5
762;39092;27;23.2.1990 0:00;391 Tapaninvainio;3912;158;0.0;2;0.0;1997;2000;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;0
766;47010;7;2.8.2002 0:00;471 Kontula;4712;1350;0.0;14;2002.0;2004;2005;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Rivitalo;SKANSKA;Kaupunki;940;0,031552956;0,00387585;2,25
768;39099;10;16.3.1978 0:00;391 Tapaninvainio;3912;370;0.0;3;0.0;2019;2019;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;YKSITYISHENKILÖ(T);Yksityinen;780;0,031688522;0,000421776;-0,25
777;47203;20;16.1.1998 0:00;473 Mellunmäki;4731;2850;0.0;43;1989.0;2000;2001;12.0;ARA-vuokra;Vuokra-asuntoja;Valtion tuki;Ei Hitas;Kerrostalo;SATO-YHTYMÄ OYJ;Kaupunki;970;0,026411054;0,005881889;3,5
806;28158;5;5.10.1953 0:00;284 Patola;2848;422;0.0;3;0.0;2012;2013;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;MUU RAKENNUTTAJA;Yksityinen;640;0,040286709;0,004846156;2
820;38337;1;11.8.2000 0:00;385 Malmin lentokenttä;3852;2200;100.0;29;1995.0;2003;2004;9.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Kerrostalo;ATT;Kaupunki;730;0,038910223;0,042290096;3,25
840;33194;3;21.11.1997 0:00;331 Kannelmäki;3312;5500;0.0;75;1997.0;2000;2001;4.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Kerrostalo;ATT;Valtio;420;0,038891351;0,000661297;3,5
841;33191;3;21.11.1997 0:00;331 Kannelmäki;3312;6300;0.0;88;1997.0;1999;2000;3.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Kerrostalo;ATT;Valtio;420;0,038891351;0,000661297;0
865;41047;3;2.12.1976 0:00;411 Puistola;4112;329;0.0;4;1977.0;2000;2001;24.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;760;0,033337521;-0,001036182;3,5
866;34041;11;17.6.1980 0:00;342 Itä-Pakila;3422;372;0.0;4;0.0;2012;2012;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;MESTA OY;Yksityinen;680;0,038492909;0,00067423;2
875;39304;8;16.5.1986 0:00;392 Tapanila;3926;632;0.0;11;2006.0;2006;2008;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;AS.OY FALLKULLANTILA;Yksityinen;730;0,038910223;0,005681535;2,5
998;45016;32;20.11.2003 0:00;455 Marjaniemi;4550;250;0.0;1;1969.0;2005;2007;38.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;930;0,038189944;0,004621235;2,25
1019;45024;18;20.11.2003 0:00;455 Marjaniemi;4550;403;0.0;3;0.0;2000;2000;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;930;0,038189944;0,004621235;3,5
1046;45042;6;20.11.2003 0:00;455 Marjaniemi;4550;487;0.0;6;0.0;2023;2023;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;PUUKOTI GROUP;Yksityinen;930;0,038189944;0,004621235;0
1048;30077;12;5.1.1981 0:00;302 Kuusisaari;3020;1346;0.0;10;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;A. PALMBERG OY AB;Yksityinen;340;0,032642181;0,013160617;0
1060;45045;5;20.11.2003 0:00;455 Marjaniemi;4550;313;0.0;2;1970.0;2001;2002;32.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;930;0,038189944;0,004621235;5,25
1065;45105;9;1.6.1977 0:00;454 Myllypuro;4542;170;0.0;2;0.0;2004;2005;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;920;0,04036742;0,016449551;2,25
1073;45269;4;19.1.2001 0:00;451 Vartioharju;4511;568;0.0;4;0.0;2000;2001;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;950;0,040112264;0,001804418;3,5
1074;45273;19;19.1.2001 0:00;451 Vartioharju;4511;236;0.0;1;0.0;2014;2014;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;OMATOIMINEN RAK.;Yksityinen;950;0,040112264;0,001804418;0,5
1079;45293;7;11.10.1996 0:00;451 Vartioharju;4515;581;0.0;6;1997.0;1999;2000;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;950;0,040112264;0,001804418;0
1080;45449;11;22.10.2004 0:00;451 Vartioharju;4512;384;0.0;3;0.0;2010;2011;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;MESTA OY;Yksityinen;910;0,040798319;0,001804418;1,25
1082;45449;10;22.10.2004 0:00;451 Vartioharju;4512;636;0.0;5;0.0;2010;2011;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;MESTA OY;Yksityinen;910;0,040798319;0,001804418;1,25
