hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
4728;47366;2;7.8.2015 0:00;473 Mellunmäki;4733;3478;0.0;53;2017.0;2019;2020;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hintakontrolloitu;Kerrostalo;PALLAS RAKENNUS OY;Kaupunki;950;0,040112264;0,005881889;-0,25
4729;15520;23;9.4.2019 0:00;150 Meilahti;1503;3435;115.0;48;0.0;2021;2022;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Kaupunki myy / myynyt;250;0,05110637;-0,010611844;-0,5
4730;15520;21;9.4.2019 0:00;150 Meilahti;1503;2190;0.0;30;0.0;2020;2021;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Kaupunki myy / myynyt;250;0,05110637;-0,010611844;-0,25
4731;25878;7;9.12.2011 0:00;250 Käpylä;2506;1400;0.0;24;2009.0;2013;2014;5.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;HARTELA;Kaupunki myy / myynyt;610;0,05362619;-3,53E-05;0,75
4732;30206;3;27.3.2009 0:00;303 Lehtisaari;3031;2400;0.0;54;2010.0;2022;2023;13.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;NEWIL & BAU;Yksityinen;340;0,032642181;0,002710674;-0,5
4733;30206;4;27.3.2009 0:00;303 Lehtisaari;3031;2400;0.0;30;2010.0;2022;2023;13.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;NEWIL & BAU;Yksityinen;340;0,032642181;0,002710674;-0,5
4921;7130;9;25.2.1983 0:00;070 Ullanlinna;703;5228;0.0;29;0.0;2014;2015;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LAPIS RAKENNUS OY;Yksityinen;140;0,051625256;0,002428689;0,5
4922;39234;5;25.1.1985 0:00;392 Tapanila;3923;207;0.0;1;2006.0;2013;2014;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Yksityinen;730;0,038910223;0,005681535;0,75
4933;29022;2;14.8.1998 0:00;291 Etelä-Haaga;2912;160;0.0;1;2006.0;2006;2007;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;320;0,049761074;0,001374049;2,5
4934;39009;7;23.1.1981 0:00;391 Tapaninvainio;3917;300;0.0;2;2006.0;2007;2007;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;780;0,031688522;0,000421776;3,75
4937;28326;6;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2009.0;2014;2017;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4938;28326;7;11.9.2009 0:00;282 Maunula;2822;160;0.0;1;2009.0;2014;2017;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4939;28326;8;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2009.0;2014;2016;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4940;28328;1;11.9.2009 0:00;282 Maunula;2822;200;0.0;1;2012.0;2014;2015;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;0,043014054;-0,000813623;0,5
4941;28328;2;11.9.2009 0:00;282 Maunula;2822;200;0.0;1;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;0,043014054;-0,000813623;0,75
4942;28328;3;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4943;28328;4;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4944;28328;5;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4945;28328;6;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2015;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,25
4946;28328;7;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4947;28328;8;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4948;28328;9;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4949;28328;10;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4950;28328;11;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2014;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4951;28328;12;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2014;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4952;28328;13;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2014;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4953;28328;14;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2018;2018;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;-0,25
4954;28328;15;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2015;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,25
4955;28328;16;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4956;28328;17;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4957;28328;18;11.9.2009 0:00;282 Maunula;2822;140;0.0;1;2013.0;2014;2015;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4958;28329;1;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2014;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4959;28329;2;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2014;2015;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4960;28329;3;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2014;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4961;28329;4;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2014;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4962;28329;5;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2015;2016;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,25
4963;28329;6;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2014;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4964;28329;7;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,75
4965;28329;8;11.9.2009 0:00;282 Maunula;2822;180;0.0;1;2012.0;2015;2023;11.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,25
4966;28318;8;11.9.2009 0:00;282 Maunula;2822;170;0.0;1;2012.0;2015;2017;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,25
4967;28318;9;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2014;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4968;28318;10;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2014;2015;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4969;28318;11;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,75
4970;28318;12;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2014;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4971;28318;13;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2013;2013;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;0,043014054;-0,000813623;0,75
4972;28318;14;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;0,043014054;-0,000813623;0,75
4973;28318;15;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;0,043014054;-0,000813623;0,75
4974;28318;16;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,75
4975;28318;17;11.9.2009 0:00;282 Maunula;2822;150;0.0;1;2012.0;2014;2015;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;-0,000813623;0,5
4978;34069;22;11.9.2009 0:00;341 Länsi-Pakila;3412;260;0.0;1;2009.0;2014;2014;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;660;0,037223429;0,003984467;0,5
4979;34068;24;11.9.2009 0:00;341 Länsi-Pakila;3412;185;0.0;1;2009.0;2015;2015;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Yksityinen;660;0,037223429;0,003984467;0,25
4983;34068;39;11.9.2009 0:00;341 Länsi-Pakila;3412;335;0.0;4;2009.0;2020;2020;11.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;SAJUCON OY;Yksityinen;660;0,037223429;0,003984467;-0,25
4984;34068;42;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4985;34068;43;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4986;34068;44;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4987;34068;45;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4988;34068;46;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4989;34068;47;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4990;34068;48;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2011;2012;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,5
4991;34068;49;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4994;34174;2;11.9.2009 0:00;341 Länsi-Pakila;3412;180;0.0;1;2009.0;2012;2012;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;2
4995;34174;3;11.9.2009 0:00;341 Länsi-Pakila;3412;180;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4996;34174;4;11.9.2009 0:00;341 Länsi-Pakila;3412;180;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4997;34174;5;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4998;34174;6;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
4999;34174;7;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5000;34174;8;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5001;34174;9;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5002;34174;10;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5003;34174;11;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5004;34174;12;11.9.2009 0:00;341 Länsi-Pakila;3412;200;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5005;34175;1;11.9.2009 0:00;341 Länsi-Pakila;3412;120;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5006;34175;2;11.9.2009 0:00;341 Länsi-Pakila;3412;120;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5007;34175;3;11.9.2009 0:00;341 Länsi-Pakila;3412;120;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5008;34175;4;11.9.2009 0:00;341 Länsi-Pakila;3412;120;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5009;34176;1;11.9.2009 0:00;341 Länsi-Pakila;3412;120;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5010;34176;2;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5011;34176;3;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5012;34176;4;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2011;2012;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,5
5013;34176;5;11.9.2009 0:00;341 Länsi-Pakila;3412;120;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5014;34176;6;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5015;34176;7;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5016;34176;8;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5017;34176;9;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5018;34177;1;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5019;34177;2;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5020;34177;3;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5021;34177;4;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2010;2010;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,25
5022;34177;5;11.9.2009 0:00;341 Länsi-Pakila;3412;160;0.0;1;2009.0;2011;2011;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,5
5023;34177;6;11.9.2009 0:00;341 Länsi-Pakila;3412;180;0.0;1;2009.0;2011;2012;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;630;0,043014054;0,003984467;1,5
5024;41275;36;27.10.2006 0:00;411 Puistola;4111;192;0.0;1;2006.0;2007;2008;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;750;0,032959936;-0,001036182;3,75
5027;49266;3;16.1.2009 0:00;492 Jollas;4923;200;0.0;1;2008.0;2022;2023;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;850;0,049523782;0,003501452;-0,5
5029;40192;18;20.10.2006 0:00;403 Töyrynummi;4033;193;0.0;1;2006.0;2007;2007;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;740;0,029334153;-0,015701217;3,75
5032;41196;4;20.4.2007 0:00;414 Jakomäki;4141;1700;0.0;16;2007.0;2010;2011;4.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Rivitalo;ATT;Kaupunki;770;0,032749645;-0,003452624;1,25
5033;47311;1;9.1.2015 0:00;473 Mellunmäki;4731;1900;0.0;43;2019.0;2021;2022;3.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ARTTUASUNNOT;Kaupunki;970;0,026411054;0,005881889;-0,5
5034;47311;2;9.1.2015 0:00;473 Mellunmäki;4731;3750;0.0;48;2018.0;2019;2020;2.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;TA-YHTIÖT;Kaupunki;970;0,026411054;0,005881889;-0,25
5047;47312;1;9.1.2015 0:00;473 Mellunmäki;4731;3100;0.0;61;2018.0;2020;2021;3.0;Välimuoto;Vuokra-asuntoja;Lyhyt korkotuki (10 v.);Ei Hitas;Kerrostalo;OIKEAKOTI ASUNNOT;Kaupunki;970;0,026411054;0,005881889;-0,25
5048;47312;2;9.1.2015 0:00;473 Mellunmäki;4731;4100;0.0;79;2018.0;2021;2021;3.0;Välimuoto;Vuokra-asuntoja;Lyhyt korkotuki (10 v.);Ei Hitas;Kerrostalo;WESTON KOTI OY;Kaupunki;970;0,026411054;0,005881889;-0,5
5049;47313;1;9.1.2015 0:00;473 Mellunmäki;4731;1700;0.0;27;2018.0;2019;2020;2.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hintakontrolloitu;Kerrostalo;JYRÄNOJA OY;Kaupunki;970;0,026411054;0,005881889;-0,25
