hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
473;12376;7;1985-11-15 00:00:00;122 Alppila;1221;4065;0;59;0;2014;2015;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VVO KODIT OY;Yksityinen;510;5,917749131;0,055902496;0,5
480;8013;2;1977-07-14 00:00:00;080 Katajanokka;802;3950;0;66;0;2018;2020;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;SATO OYJ;Yksityinen;160;4,656163716;0,87864861;-0,25
494;7104;19;1987-01-16 00:00:00;070 Ullanlinna;701;7275;800.0;58;0;2016;2019;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;ROOMY OY;Valtio;130;5,883706785;0,242868943;0
515;54199;1;2000-04-28 00:00:00;544 Meri-Rastila;5442;813;0.0;8;2000.0;2004;2005;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;YIT;Kaupunki myy / myynyt;980;4,169115363;-0,081754083;2,25
539;20027;2;2004-11-26 00:00:00;203 Jätkäsaari;2032;8100;800.0;86;2010.0;2012;2013;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;180;5,720427935;9,238506816;2
540;4001;10;19.5.1875;040 Kamppi;401;1985;0;40;0;2021;2023;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;LUMO-KODIT;Yksityinen;100;5,606905584;0,666373535;-0,5
541;20029;6;2004-11-26 00:00:00;203 Jätkäsaari;2032;5405;0;54;2010.0;2015;2016;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki myy / myynyt;180;5,720427935;9,238506816;0,25
549;20029;7;2004-11-26 00:00:00;203 Jätkäsaari;2032;5415;0;51;2010.0;2015;2016;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki myy / myynyt;180;5,720427935;9,238506816;0,25
575;38246;5;1999-02-26 00:00:00;383 Pihlajamäki;3832;1000;0.0;13;1999.0;2000;2001;2.0;Välimuoto;Asumisoikeusasuntoja;Valtion laina;Ei Hitas;Ei erityisryhmää;Kerrostalo;ETELÄ-SUOMEN YH-RAKENNUTTAJA;Kaupunki;710;3,572011567;-0,363727395;3,5
582;39092;25;1998-12-04 00:00:00;391 Tapaninvainio;3912;2360;320.0;29;1997.0;2003;2004;7.0;Välimuoto;Asumisoikeusasuntoja;Valtion laina;Ei Hitas;Ei erityisryhmää;Rivitalo;Sami-Asumisoikeus Oy;Kaupunki;780;3,168852193;0,042177595;3,25
